ticker,corr
NVDA,-0.08622632505037763
UNH,0.08507431666072385
MSFT,-0.07556807026464231
META,-0.07547935384526565
AAPL,-0.051956030360562754
JNJ,0.04705375672525383
V,-0.04464253307432853
AMZN,-0.03731956573280138
GOOGL,-0.03523935129529388
WMT,0.031743214288685
MA,-0.02967865326955334
BRK-B,0.02960357022670968
ABBV,0.022618829575526363
BAC,-0.020157739993186718
TSLA,-0.011539698193935565
PG,0.00986948417097729
JPM,-0.008840477756712109
CVX,-0.007495583729179539
XOM,0.006060250065531296
HD,-0.0053315789862974266
