date,weather,market,weather_lag_1,weather_lag_2,market_lag_1,market_lag_2,rolling_corr
2023-01-12,1,0.01078274743420666,,,,,
2023-01-13,0,0.010775421756265361,1.0,,0.01078274743420666,,
2023-01-17,1,0.008645576383263243,0.0,1.0,0.010775421756265361,0.01078274743420666,
2023-01-18,0,0.008917111026278662,1.0,0.0,0.008645576383263243,0.010775421756265361,
2023-01-19,1,0.009535302212881097,0.0,1.0,0.008917111026278662,0.008645576383263243,
2023-01-20,0,0.011743946621757607,1.0,0.0,0.009535302212881097,0.008917111026278662,
2023-01-23,1,0.01159960279710741,0.0,1.0,0.011743946621757607,0.009535302212881097,
2023-01-24,1,0.011611897230409684,1.0,0.0,0.01159960279710741,0.011743946621757607,
2023-01-25,1,0.011555308614908204,1.0,1.0,0.011611897230409684,0.01159960279710741,
2023-01-26,0,0.012086491103549047,1.0,1.0,0.011555308614908204,0.011611897230409684,
2023-01-27,1,0.009152044148216108,0.0,1.0,0.012086491103549047,0.011555308614908204,
2023-01-30,0,0.010510488542170682,1.0,0.0,0.009152044148216108,0.012086491103549047,
2023-01-31,1,0.009608115234866993,0.0,1.0,0.010510488542170682,0.009152044148216108,
2023-02-01,1,0.00941957843486496,1.0,0.0,0.009608115234866993,0.010510488542170682,
2023-02-02,1,0.010042369800651308,1.0,1.0,0.00941957843486496,0.009608115234866993,
2023-02-03,1,0.01164891368263827,1.0,1.0,0.010042369800651308,0.00941957843486496,
2023-02-06,1,0.011800861703029051,1.0,1.0,0.01164891368263827,0.010042369800651308,
2023-02-07,1,0.012527482527012796,1.0,1.0,0.011800861703029051,0.01164891368263827,
2023-02-08,0,0.012132569852822796,1.0,1.0,0.012527482527012796,0.011800861703029051,
2023-02-09,1,0.01180621659123832,0.0,1.0,0.012132569852822796,0.012527482527012796,
2023-02-10,0,0.010999755372709332,1.0,0.0,0.01180621659123832,0.012132569852822796,
2023-02-13,0,0.010273683459419671,0.0,1.0,0.010999755372709332,0.01180621659123832,
2023-02-14,0,0.00948787071887311,0.0,0.0,0.010273683459419671,0.010999755372709332,
2023-02-15,0,0.009113011141352632,0.0,0.0,0.00948787071887311,0.010273683459419671,
2023-02-16,0,0.009041316308027668,0.0,0.0,0.009113011141352632,0.00948787071887311,
2023-02-17,0,0.00823802969232697,0.0,0.0,0.009041316308027668,0.009113011141352632,
2023-02-21,0,0.010671550385842622,0.0,0.0,0.00823802969232697,0.009041316308027668,
2023-02-22,1,0.010463328419461798,0.0,0.0,0.010671550385842622,0.00823802969232697,
2023-02-23,1,0.009187935614881158,1.0,0.0,0.010463328419461798,0.010671550385842622,
2023-02-24,0,0.009251127214698588,1.0,1.0,0.009187935614881158,0.010463328419461798,0.1466908966536526
2023-02-27,1,0.009298016443199336,0.0,1.0,0.009251127214698588,0.009187935614881158,0.10707279163346203
2023-02-28,1,0.00861314837109424,1.0,0.0,0.009298016443199336,0.009251127214698588,0.07613826551047662
2023-03-01,1,0.008589801720935876,1.0,1.0,0.00861314837109424,0.009298016443199336,0.07470036716403891
2023-03-02,0,0.006301297789075199,1.0,1.0,0.008589801720935876,0.00861314837109424,0.13535799282295358
2023-03-03,1,0.008863149717215026,0.0,1.0,0.006301297789075199,0.008589801720935876,0.12037987675160042
2023-03-06,0,0.008743297758695682,1.0,0.0,0.008863149717215026,0.006301297789075199,0.20034959748201905
2023-03-07,0,0.009931820895958197,0.0,1.0,0.008743297758695682,0.008863149717215026,0.17346755684891815
2023-03-08,1,0.009883465904208312,0.0,0.0,0.009931820895958197,0.008743297758695682,0.13834838207346725
2023-03-09,0,0.01221839970294417,1.0,0.0,0.009883465904208312,0.009931820895958197,0.04490292508268992
2023-03-10,1,0.013128235840800735,0.0,1.0,0.01221839970294417,0.009883465904208312,0.15973782628299202
2023-03-13,0,0.012307254484574504,1.0,0.0,0.013128235840800735,0.01221839970294417,0.12403333178355874
2023-03-14,1,0.01239952249125683,0.0,1.0,0.012307254484574504,0.013128235840800735,0.17348395307397485
2023-03-15,1,0.012206584044357765,1.0,0.0,0.01239952249125683,0.012307254484574504,0.2199287592929947
2023-03-16,0,0.014012987002340268,1.0,1.0,0.012206584044357765,0.01239952249125683,0.14874675864365855
