Days_Around_Event,Average_market_Move
-5,0.007170095811496886
-4,0.0071755926274169905
-3,0.007079258846976803
-2,0.007160774613517792
-1,0.007296056388699124
0,0.007271346044879442
1,0.007335470735083908
2,0.007404514490033614
3,0.007520241088919007
4,0.0077073152388708425
5,0.007674862175835564
